User,Pub_number,Pub_info,Study_year_start,File_name,Var_type,Value_error,Xunits,Yunits,Variable,Xvalue,Yvalue,Func_group,Genus,Species,Amount_warmed_C,Amount_warmed_type,Years_warmed,Latitude,Year_round_warm,Site,Tissue_Type,Notes,Comments
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.114,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.074,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,1.049,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.054,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,0.17,60.56306,No,,,2001,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.194,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.14,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,1,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.049,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,1.17,60.56306,No,,,2002,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.114,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.129,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,1.011,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.057,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,2.17,60.56306,No,,,2003,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.174,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.091,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,1.04,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.06,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,3.17,60.56306,No,,,2004,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.106,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.091,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,1.034,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Var,,0.051,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,4.17,60.56306,No,,,2005,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Mean,,1.12,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Warmed_Var,,0.069,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
EP,75,Pieper_2011_ArctAntarctAlpRes,2001,Pub75_Fig3,Leaf_length,mean_SE,,cm,Ambient_Mean,,1.006,Ever_Shrub,Dryas,octopetala,1.5,GrowingSeason_average,5.17,60.56306,No,,,2006,
