User,Pub_number,Pub_info,Study_year_start,File_name,Var_type,Value_error,Xunits,Yunits,Variable,Xvalue,Yvalue,Func_group,Genus,Species,Amount_warmed_C,Amount_warmed_type,Years_warmed,Latitude,Year_round_warm,Site,Tissue_Type,Notes,Comments,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Mean,,163.71,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Var,,37.097,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Mean,,44.355,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Var,,5.645,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Mean,,37.097,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Var,,3.226,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Mean,,22.581,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Var,,2.491,Ever_Shrub,Loiseleuria,procumbens,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,,Site E,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Mean,,57.031,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Var,,8.954,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Mean,,35.547,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Var,,8.594,Ever_Shrub,Empetrum,nigrum,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Mean,,28.125,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Warmed_Var,,3.125,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Mean,,27.734,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
JA,8,Wada_2002_EnvironRes,1995,Pub8_Fig2,Shoot_length,mean_SE,,mm/year,Ambient_Var,,2.604,Ever_Shrub,Loiseleuria,procumbens,1.8,GrowingSeason_average,2.17,36.5616,Yes,Site_F,,Site F,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Mean,,138.542,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Warmed_Var,,91.146,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Mean,,37.5,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
KD,8,Wada_2002_EnvironRes,1995,Pub8_Fig3,Biomass_above,mean_SE,,mg,Ambient_Var,,5.208,Ever_Shrub,Empetrum,nigrum,1.5,GrowingSeason_average,2.17,36.5616,Yes,Site_E,Leaf,Site E,,
