User,Pub_number,Pub_info,Study_year_start,File_name,Var_type,Value_error,Xunits,Yunits,Variable,Xvalue,Yvalue,Func_group,Genus,Species,Amount_warmed_C,Amount_warmed_type,Years_warmed,Year_round_warm,Latitude,Site,Tissue_Type,Notes,Comments
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Warmed_Mean,,100.88,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Warmed_Var,,9.93,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Ambient_Mean,,115.49,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Ambient_Var,,23.19,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Warmed_Mean,,87.85,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Warmed_Var,,9.63,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Ambient_Mean,,115.49,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,,g/m^2,Ambient_Var,,23.19,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Warmed_Mean,,20.87,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Warmed_Var,,0.09,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Ambient_Mean,,23.6,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Ambient_Var,,0.51,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Warmed_Mean,,15.25,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Warmed_Var,,0.37,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Ambient_Mean,,23.6,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,,mg/g,Ambient_Var,,0.51,Graminoid,Kobresia,pygmaea,4.4,Annual_average,1.16,Yes,34.72861,,Leaf,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_below,mean_SE,,mg/g,Warmed_Mean,,8.74,Graminoid,Kobresia,pygmaea,2.1,Annual_average,1.16,Yes,34.72861,,Root,,
