User,Pub_number,Pub_info,Study_year_start,File_name,Var_type,Value_error,Yunits,Func_group,Genus,Species,Native_Status,Amount_warmed_C,Amount_warmed_type,Years_warmed,Latitude,Longitude,Max_lat_of_species,Year_round_warm,Site,Tissue_Type,Lichen_Moss_Type,Warmed_Mean,Warmed_Var,Warmed_N,Ambient_Mean,Ambient_Var,Ambient_N,Notes,Comments,To_Remove
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,g/m^2,Graminoid,Carex,parvula,Native,2.9,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,,,100.88,9.93,5,115.49,23.19,5,No. samples per treatment,Not clear what their actual sample size is,remove
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl1,LMA,mean_SE,g/m^2,Graminoid,Carex,parvula,Native,4.6,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,,,87.85,9.63,5,115.49,23.19,5,"for this study, amount warmed was taken from study 3 since the experiment is the same",Table says 5 but that doesn't seem right,remove
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,mg/g,Graminoid,Carex,parvula,Native,2.9,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,Leaf,,20.87,0.09,3,23.6,0.51,3,No. plots per treatment,n determined from text,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_above,mean_SE,mg/g,Graminoid,Carex,parvula,Native,4.6,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,Leaf,,15.25,0.37,3,23.6,0.51,3,,amount warmed for study 2 was taken from study 3 since the experiment is the same,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_below,mean_SE,mg/g,Graminoid,Carex,parvula,Native,2.9,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,Root,,8.74,0.11,3,8.95,0.47,3,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl2,Nitrogen_below,mean_SE,mg/g,Graminoid,Carex,parvula,Native,4.6,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,Root,,6.85,0.14,3,8.95,0.47,3,,,
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl3,Leaf_length,mean_SE,mm,Graminoid,Carex,parvula,Native,2.9,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,,,50.69,4.32,8,36.46,3.19,8,No. samples per treatment,Not clear what their actual sample size is,remove
KD,2,Yang_2011_PlantSoil,2008,Pub2_Tbl3,Leaf_length,mean_SE,mm,Graminoid,Carex,parvula,Native,4.6,GrowingSeason_average,1.16,34.72861,92.89278,,Yes,,,,51.45,3.65,8,36.46,3.19,8,,Table says 8 but that doesn't seem right,remove
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Total,,,,2.9,GrowingSeason_average,0.083,34.72861,92.89278,,Yes,,,,80.476,5.238,3,81.905,4.524,3,No. plots per treatment,n determined from text,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Total,,,,2.9,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,90,4.773,3,76.591,1.818,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Total,,,,4.6,GrowingSeason_average,0.083,34.72861,92.89278,,Yes,,,,83.571,2.858,3,81.905,4.524,3,,,
FS,3,Yang_2015_PlantEcolDivers,2006,Pub3_Fig3,Perc_cover,mean_SE,percent,Total,,,,4.6,GrowingSeason_average,4.083,34.72861,92.89278,,Yes,,,,92.045,1.137,3,76.591,1.818,3,,,
