"User","Pub_number","Pub_info","Study_year_start","File_name","Var_type","Var_type_broad","Value_error","Yunits","Func_group","Func_group_broad","Family","Genus","Species","Genus_Species","Native_Status","Amount_warmed_C","Amount_warmed_type","Years_warmed","Year_round_warm","Latitude","Longitude","Max_lat_of_species","Lat_difference","Site","Tissue_Type","Tissue_Type_broad","Lichen_Moss_Type","Warmed_Mean","Warmed_SD","Warmed_N","Ambient_Mean","Ambient_SD","Ambient_N","Elevation_m","Mean_annual_temp","Mean_annual_precip","Abs_Latitude","yi","vi"
"KD",2,"Yang_2011_PlantSoil",2008,"Pub2_Tbl2","Nitrogen_above","Nitrogen_above","mean_SD","mg/g","Graminoid","Graminoid","Cyperaceae","Carex","parvula","Carex_parvula","Native",2.9,"GrowingSeason_average",1.16,"Yes",34.72861,92.89278,NA,NA,"","Leaf","Leaf","",20.87,0.155884572681199,3,23.6,0.883345911860127,3,4836,-5.79047918319702,25.4166666666667,34.72861,-3.43421667194053,1.64948701248619
"KD",2,"Yang_2011_PlantSoil",2008,"Pub2_Tbl2","Nitrogen_above","Nitrogen_above","mean_SD","mg/g","Graminoid","Graminoid","Cyperaceae","Carex","parvula","Carex_parvula","Native",4.6,"GrowingSeason_average",1.16,"Yes",34.72861,92.89278,NA,NA,"","Leaf","Leaf","",15.25,0.640858798800485,3,23.6,0.883345911860127,3,4836,-5.79047918319702,25.4166666666667,34.72861,-8.63347536383421,6.87807473816103
"KD",2,"Yang_2011_PlantSoil",2008,"Pub2_Tbl2","Nitrogen_below","Nitrogen_below","mean_SD","mg/g","Graminoid","Graminoid","Cyperaceae","Carex","parvula","Carex_parvula","Native",2.9,"GrowingSeason_average",1.16,"Yes",34.72861,92.89278,NA,NA,"","Root","Root","",8.74,0.190525588832577,3,8.95,0.814063879557372,3,4836,-5.79047918319702,25.4166666666667,34.72861,-0.283423440833257,0.67336073723448
"KD",2,"Yang_2011_PlantSoil",2008,"Pub2_Tbl2","Nitrogen_below","Nitrogen_below","mean_SD","mg/g","Graminoid","Graminoid","Cyperaceae","Carex","parvula","Carex_parvula","Native",4.6,"GrowingSeason_average",1.16,"Yes",34.72861,92.89278,NA,NA,"","Root","Root","",6.85,0.242487113059643,3,8.95,0.814063879557372,3,4836,-5.79047918319702,25.4166666666667,34.72861,-2.78969154604624,1.31519824350682
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Total","Total",NA,"","","_","",2.9,"GrowingSeason_average",0.083,"Yes",34.72861,92.89278,NA,NA,"","","","",80.476,9.07248213004578,3,81.905,7.8357978534416,3,4836,-5.79047918319702,25.4166666666667,34.72861,-0.134506820589842,0.668174340398766
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Total","Total",NA,"","","_","",2.9,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",90,8.26707850452625,3,76.591,3.14886836816022,3,4836,-5.79047918319702,25.4166666666667,34.72861,1.71033680736135,0.910437666217918
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Total","Total",NA,"","","_","",4.6,"GrowingSeason_average",0.083,"Yes",34.72861,92.89278,NA,NA,"","","","",83.571,4.95020120803185,3,81.905,7.8357978534416,3,4836,-5.79047918319702,25.4166666666667,34.72861,0.202825617550995,0.670094852594578
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Total","Total",NA,"","","_","",4.6,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",92.045,1.96934176820581,3,76.591,3.14886836816022,3,4836,-5.79047918319702,25.4166666666667,34.72861,4.69521960254402,2.50375725967614
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","tibetikobresia","Carex_tibetikobresia","Native",2.9,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",51,8.66025403784439,3,53.667,9.81553192649283,3,4836,-5.79047918319702,25.4166666666667,34.72861,-0.22990201573658,0.671071244736645
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","tibetikobresia","Carex_tibetikobresia","Native",4.6,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",78.333,13.2796335416306,3,53.667,9.81553192649283,3,4836,-5.79047918319702,25.4166666666667,34.72861,1.68545253114465,0.903395852895158
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","moorcroftii","Carex_moorcroftii","Native",2.9,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",33.333,8.66025403784439,3,28.667,13.2796335416306,3,4836,-5.79047918319702,25.4166666666667,34.72861,0.332094360475986,0.675857222021663
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","moorcroftii","Carex_moorcroftii","Native",4.6,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","","","",16.333,1.15527788864844,3,28.667,13.2796335416306,3,4836,-5.79047918319702,25.4166666666667,34.72861,-1.04408451835705,0.757509373456073
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","tibetikobresia","Carex_tibetikobresia","Native",2.9,"GrowingSeason_average",0.083,"Yes",34.72861,92.89278,NA,NA,"","","","",59.649,10.3316830671484,3,60.702,13.9776500170808,3,4836,-5.79047918319702,25.4166666666667,34.72861,-0.0683588677035786,0.667056077899476
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","tibetikobresia","Carex_tibetikobresia","Native",4.6,"GrowingSeason_average",0.083,"Yes",34.72861,92.89278,NA,NA,"","","","",58.596,17.6236169670133,3,60.702,13.9776500170808,3,4836,-5.79047918319702,25.4166666666667,34.72861,-0.105645867197622,0.667596754104661
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","moorcroftii","Carex_moorcroftii","Native",2.9,"GrowingSeason_average",0.083,"Yes",34.72861,92.89278,NA,NA,"","","","",22.807,5.46981645030251,3,20.702,9.115783400235,3,4836,-5.79047918319702,25.4166666666667,34.72861,0.223427397462743,0.670826650161415
"KD",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig3","Percent_cover","Percent_cover","mean_SD","percent","Graminoid","Graminoid","Cyperaceae","Carex","moorcroftii","Carex_moorcroftii","Native",4.6,"GrowingSeason_average",0.083,"Yes",34.72861,92.89278,NA,NA,"","","","",23.158,6.07776628375919,3,20.702,9.115783400235,3,4836,-5.79047918319702,25.4166666666667,34.72861,0.25294512145498,0.671998436205656
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig5","Biomass_above","Biomass_above","mean_SD","kg/m^2","Total","Total",NA,"","","_","",2.9,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","Total","Total","",0.421,0.152420471066061,3,0.228,0.0606217782649107,3,4836,-5.79047918319702,25.4166666666667,34.72861,1.32763816676964,0.813551925155288
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig5","Biomass_below","Biomass_below","mean_SD","kg/m^2","Total","Total",NA,"","","_","",2.9,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","Old_Roots","Root","",5.947,1.06347919584729,3,6,0.911058724781229,3,4836,-5.79047918319702,25.4166666666667,34.72861,-0.0427061440245167,0.66681865122812
"FS",3,"Yang_2015_PlantEcolDivers",2006,"Pub3_Fig5","Biomass_below","Biomass_below","mean_SD","kg/m^2","Total","Total",NA,"","","_","",2.9,"GrowingSeason_average",4.083,"Yes",34.72861,92.89278,NA,NA,"","New_Roots","Root","",4.632,1.39776500170808,3,3.305,0.850436946516319,3,4836,-5.79047918319702,25.4166666666667,34.72861,0.915171754470672,0.736461611681744
